Resource Name,2011,2013,2017,2020
Stage of Groundwater Development (%),133.447,135,136.91,134.56
Recharge from rainfall (Non-Monsoon),1.01,1.03,1.03,0.58
Recharge from Rainfall (Monsoon),3.65,3.62,3.56,3.24
Recharge from other sources (Non-Monsoon),3.35,3.6,3,2.9
Recharge from other sources (Monsoon),2.77,3.1,2.55,2.81
Projected Domestic & Industrial Uses Upto 2025,0.76,0.56,0.72,0.57
Net Annual Groundwater Availability,9.79,10.3,9.13,8.63
Natural Discharge During Non-Monsoon Season,0.99,1.06,1.01,0.9
Groundwater Availability for Future Irrigation,-3.31,-3.58,0.87,0.97
Annual Replenishable Groundwater Resources (Total),10.78,11.36,10.15,9.53
Annual Irrigation Draft,12.35,13.32,11.53,10.47
Annual Groundwater Draft(Total),13.05,13.92,12.5,11.61
Annual Domestic and Industrial Draft,0.71,0.6,0.97,1.15